Activity_acc,org:resource_acc,concept:name_acc,lifecycle:transition_acc,(case) AMOUNT_REQ_mae,AVG_total_loss,MAE_(case) AMOUNT_REQ
0.9038349390029907,0.6686949133872986,0.9044714570045471,0.9616038203239441,0.10231720301366988,2.7189563732771647,0.10074910521507263
0.8880292773246765,0.6535459756851196,0.8971942663192749,0.960318386554718,0.10355884759199052,2.8777742325550033,0.1020854264497757
0.9096580743789673,0.6658414006233215,0.9137256741523743,0.9622672200202942,0.08865550266844886,2.6724652211580957,0.08697943389415741
0.9076200127601624,0.6676458120346069,0.9074159860610962,0.9631794691085815,0.10085538065149671,2.688459226418109,0.09921211004257202
0.8979286551475525,0.6503986716270447,0.8991292715072632,0.9610233306884766,0.08007766803105672,2.801118752431302,0.07834706455469131
0.8995091915130615,0.6654636859893799,0.9037563800811768,0.9579134583473206,0.09467996727852594,2.7433411092275666,0.09302203357219696
0.9051243662834167,0.6669324636459351,0.906869113445282,0.9622257947921753,0.09684521350122634,2.693294859003453,0.09519319236278534
0.8958073258399963,0.6565253734588623,0.8963950872421265,0.9632623791694641,0.09347476029679888,2.8110222905164672,0.09168793261051178
0.9051243662834167,0.656903088092804,0.9056071639060974,0.9658331871032715,0.1019766621646427,2.7211769177090552,0.10015749931335449
0.9064137935638428,0.6707931160926819,0.9115803241729736,0.9636355638504028,0.09031628959235691,2.661765468262491,0.08865321427583694
